id_str,posted_by,type,score,ratio
1787958570434154652,CBSNews,negative,-0.0578939,-0.343823
1787955567878672877,CBSNews,negative,-0.354575,-0.882589
1787950559384715340,CBSNews,neutral,0.0170182,0.123285
1787950535733018636,CBSNews,negative,-0.129575,-0.423347
1787945500102050298,CBSNews,neutral,0.0161404,0.158577
1787940720885538950,CBSNews,positive,0.289059,0.818655
1787935433323630995,CBSNews,positive,0.239243,0.753782
1787930401261891723,CBSNews,neutral,0.0178283,0.059176
1787925369560936709,CBSNews,negative,-0.223904,-0.832608
1787920337264312372,CBSNews,positive,0.18838,0.472144
1787916560457228481,CBSNews,negative,-0.1383,-0.686568
1787912784174309544,CBSNews,positive,0.117472,0.711259
1787911651292856526,CBSNews,negative,-0.354194,-0.694084
1787909012337390021,CBSNews,negative,-0.0642542,-0.303639
1787905846011424969,CBSNews,positive,0.128971,1
1787905585783951421,CBSNews,positive,0.0848589,0.558862
1787900204730945798,CBSNews,negative,-0.0629498,-0.395372
1787895169829777416,CBSNews,positive,0.160417,1
1787890137797480494,CBSNews,negative,-0.11374,-0.291052
1787886320968253931,CBSNews,neutral,0.00884852,0.134585
1787885103307260399,CBSNews,positive,0.120324,0.442443
1787880071484653635,CBSNews,positive,0.194261,0.612348
1787875040874127749,CBSNews,negative,-0.212911,-0.541674
1787874495341957589,CBSNews,positive,0.194156,1
1787871260837302612,CBSNews,neutral,0.0182745,0.0953781
1787868744829587766,CBSNews,neutral,0.0360535,0.140127
1787866228880499072,CBSNews,negative,-0.0550006,-0.204086
1787863713954898377,CBSNews,positive,0.0718711,0.587202
1787860039711039997,CBSNews,negative,-0.10668,0.0785563
1787853992283828378,CBSNews,positive,0.559856,0.752899
1787853984675377631,CBSNews,positive,0.136571,0.686821
1787853973686264234,CBSNews,positive,0.151329,0.393661
1787853957668233412,CBSNews,positive,0.255899,0.458843
1787853824364830873,CBSNews,negative,-0.29356,-0.677483
1787849869463331284,CBSNews,neutral,0.00711918,0.0622433
1787846103724933415,CBSNews,negative,-0.163422,-0.608166
1787844841096765463,CBSNews,negative,-0.229468,-0.56295
1787841063773692107,CBSNews,neutral,0.0316623,0.201389
1787837288233263374,CBSNews,positive,0.336961,0.869461
1787835870625579314,CBSNews,negative,-0.172879,-0.729622
1787835812849008682,CBSNews,positive,0.0525,0.54164
1787835804036854213,CBSNews,neutral,-0.0136468,-0.147913
1787835790095004031,CBSNews,negative,-0.167326,-0.809772
1787835780225782215,CBSNews,negative,-0.21483,-0.714692
1787833857426825325,CBSNews,negative,-0.148525,-0.201785
1787829931767963912,CBSNews,negative,-0.246351,-0.729988
1787829739794661440,CBSNews,negative,-0.103993,-0.370849
1787822188004868441,CBSNews,negative,-0.224797,-0.848052
1787818834319056953,CBSNews,negative,-0.420556,-1
1787818786914980191,CBSNews,negative,-0.404378,-0.777263
1787818767499559416,CBSNews,neutral,-0.04642,-0.0918156
1787818761338097905,CBSNews,negative,-0.234469,-0.794022
1787817418296795144,CBSNews,neutral,0,0
1787814637334847615,CBSNews,neutral,-0.0407922,-0.269038
1787807088615235735,CBSNews,negative,-0.202161,-0.519334
1787799540864581985,CBSNews,negative,-0.368766,-0.872891
1787794508207321116,CBSNews,negative,-0.209303,-0.50757
1787789874851881257,CBSNews,negative,-0.160046,-0.658404
1787784440132853941,CBSNews,positive,0.170401,0.71672
1787769342802670039,CBSNews,neutral,-0.0120978,-0.0447811
1787754240372342998,CBSNews,positive,0.151709,0.696832
1787739141939114372,CBSNews,neutral,0.045762,0.256998
1787724041148629444,CBSNews,negative,-0.2885,-0.600176
1787708944183394490,CBSNews,positive,0.08393,0.474184
1787693842688279031,CBSNews,neutral,-0.0105634,-0.0275486
1787687551429431371,CBSNews,negative,-0.0919768,-0.255978
1787680000642015645,CBSNews,positive,0.129302,1
1787672453562392825,CBSNews,positive,0.196534,1
1787660852788703470,CBSNews,positive,0.311789,0.718254
1787653578313666569,CBSNews,negative,-0.126901,-0.282977
1787650020881183192,CBSNews,negative,-0.0618081,-0.192448
1787648546235097446,CBSNews,positive,0.0619533,0.56308
1787647436866863265,CBSNews,neutral,-0.0384638,-0.36958
1787643509974999491,CBSNews,negative,-0.277999,-0.695805
1787641864973123613,CBSNews,positive,0.355705,1
1787638478651507105,CBSNews,positive,0.158088,0.249535
1787633446468157612,CBSNews,positive,0.385364,0.777052
1787629099961213134,CBSNews,neutral,0.00850281,0.0476405
1787628411524977078,CBSNews,positive,0.384787,0.642178
1787625738029470188,CBSNews,positive,0.0688752,0.513845
1787624401271218604,CBSNews,neutral,-0.0100231,-0.0848034
